Animal,gender,ID,cute,rounded,streamlined,colorful,warning,speedy,powerful,reliable,elegant,friendly,rough,hard,aggressive,recognizable,specially-textured,beautiful-implied ,clever,leisurely,fashion-colored,majestic,specially-structured
dolphin,女,55,4,4,5,5,3,4,5,5,5,4,4,4,4,4,4,3,6,5,5,5,5
dolphin,女,56,5,6,7,1,1,6,5,6,6,6,3,2,2,4,2,6,6,6,2,2,4
dolphin,女,57,6,7,7,1,1,6,3,6,5,6,2,1,2,7,2,5,6,7,1,1,3
dolphin,女,58,5,6,7,3,1,6,1,4,6,6,1,2,3,7,5,6,7,6,3,2,5
dolphin,女,59,6,5,7,4,4,7,5,5,5,5,6,6,3,6,4,5,6,7,3,2,5
dolphin,女,60,7,6,7,3,2,7,6,5,7,6,2,2,4,6,4,6,7,5,4,3,5
dolphin,女,61,7,6,7,1,1,5,5,6,7,7,5,2,1,6,3,7,7,5,1,3,4
dolphin,女,62,6,7,7,3,3,7,7,7,7,7,1,1,1,7,7,7,7,7,1,1,1
dolphin,女,63,5,7,7,2,2,7,5,4,6,7,3,3,3,7,6,5,7,7,1,3,6
dolphin,女,64,6,7,7,4,6,4,4,4,6,6,1,2,2,6,4,4,5,4,4,2,5
dolphin,女,65,6,6,6,4,4,4,2,4,6,7,2,4,2,5,5,5,6,6,5,3,4
dolphin,女,66,5,5,7,4,2,4,3,5,6,7,3,3,3,5,4,5,5,6,4,2,4
dolphin,女,67,5,5,5,2,2,7,6,6,6,6,5,6,6,5,6,6,7,4,4,4,6
dolphin,女,68,6,5,6,2,2,5,4,4,5,5,2,2,3,5,4,5,6,4,4,4,4
dolphin,女,69,6,7,7,4,4,6,5,5,5,5,1,1,2,4,3,2,4,6,4,2,5
dolphin,女,70,7,6,7,3,2,5,4,7,7,7,1,2,2,5,3,7,7,5,5,3,5
dolphin,女,71,5,7,7,1,1,2,1,5,6,7,1,1,1,6,1,7,7,6,1,1,1
dolphin,女,72,4,5,6,4,4,5,2,7,7,7,1,1,1,6,1,7,7,7,3,4,5
dolphin,女,73,6,7,7,1,1,6,4,5,5,6,4,3,2,6,4,4,5,4,4,2,6
dolphin,女,74,5,4,7,1,1,6,5,5,5,5,1,4,4,6,4,6,7,4,2,3,4
dolphin,女,75,6,7,7,1,1,5,4,6,5,6,1,1,1,7,5,7,4,4,1,1,7
dolphin,女,76,7,7,7,4,3,7,5,7,7,7,1,2,4,7,6,5,7,4,3,2,7
dolphin,女,77,7,6,7,2,1,7,5,7,7,7,1,1,4,7,2,7,7,4,1,5,5
dolphin,女,78,7,7,6,1,1,7,1,5,5,5,3,1,1,6,3,7,7,5,1,1,1
dolphin,女,79,6,6,7,2,2,6,4,4,7,5,6,6,3,7,6,6,7,7,4,3,6
dolphin,女,80,6,7,7,2,2,4,5,7,7,7,1,4,4,5,3,6,7,7,4,4,4
dolphin,女,81,7,7,7,1,1,6,1,3,6,7,1,1,1,7,4,6,7,6,1,1,4
dolphin,女,82,7,6,7,2,1,2,4,4,5,5,1,1,1,4,2,6,7,3,1,1,1
dolphin,女,83,6,7,7,1,1,2,4,5,4,6,3,4,2,6,2,6,7,6,3,2,7
dolphin,女,84,6,6,7,2,1,5,4,6,6,7,1,2,1,7,3,6,7,5,1,1,5
dolphin,女,85,1,2,4,1,5,5,3,1,5,6,1,2,5,6,1,5,7,6,1,3,6
dolphin,女,86,6,6,7,4,3,6,6,6,6,6,4,3,5,7,4,6,6,4,4,4,4
dolphin,女,87,7,6,6,3,3,6,6,6,5,6,5,3,3,6,3,6,6,4,2,3,3
dolphin,女,88,3,6,6,4,4,6,4,6,6,6,3,4,3,5,5,5,6,5,4,3,3
dolphin,女,89,6,6,6,1,1,6,5,5,5,5,2,3,2,6,3,6,6,5,5,5,5
dolphin,女,90,6,6,7,4,3,5,4,6,6,7,3,4,4,6,4,5,7,6,6,4,4
dolphin,女,91,6,6,7,2,1,4,1,3,7,7,1,1,2,5,4,6,6,4,2,1,4
dolphin,女,92,5,6,7,1,1,6,6,6,4,5,1,1,3,7,1,6,7,7,1,1,6
dolphin,女,93,4,6,6,3,1,7,4,6,6,7,3,3,6,7,1,5,7,6,5,1,5
dolphin,女,94,7,4,6,2,2,6,5,5,5,5,2,2,3,5,2,5,6,4,2,3,2
dolphin,女,95,4,6,7,1,3,7,5,5,6,6,5,6,4,6,4,6,7,7,4,3,4
dolphin,女,96,6,4,7,2,1,7,6,5,7,7,2,3,4,7,4,7,7,5,4,3,5
dolphin,女,97,5,6,7,3,3,6,5,6,6,6,2,4,3,6,4,6,6,4,4,4,4
dolphin,女,98,6,7,7,3,4,6,5,6,7,7,2,3,4,5,3,6,6,4,4,4,4
dolphin,女,99,6,6,6,2,1,5,4,6,5,6,1,3,2,5,4,5,5,5,5,4,4
dolphin,女,100,6,5,7,1,1,5,4,6,6,7,2,1,4,7,4,5,6,5,4,1,4
dolphin,女,101,7,6,6,7,2,6,2,6,7,6,2,2,1,6,2,5,6,6,5,2,1
dolphin,女,102,5,6,7,3,3,5,4,6,6,6,3,5,5,7,4,6,7,6,4,3,6
dolphin,女,103,7,6,7,2,1,7,5,5,6,7,3,5,4,6,5,6,7,7,5,4,5
dolphin,女,104,7,6,7,1,1,6,5,7,7,7,2,2,1,7,2,6,7,7,2,2,3
dolphin,女,105,6,6,6,2,2,5,5,7,2,6,3,2,1,2,1,6,6,5,4,2,5
dolphin,女,106,4,5,6,4,3,4,4,4,5,5,2,3,2,5,4,5,6,5,4,3,3
dolphin,女,107,6,4,4,4,6,7,5,7,5,7,4,5,3,4,3,4,6,5,4,4,4
boxfish,男,1,1,2,2,5,7,1,1,1,1,1,6,1,5,7,7,1,1,7,5,2,5
boxfish,男,2,7,5,2,6,7,1,2,2,3,2,6,5,6,5,5,3,2,2,5,1,7
boxfish,男,3,6,7,5,7,7,2,1,2,1,2,2,2,2,7,7,1,2,2,7,1,6
boxfish,男,4,6,7,7,7,6,1,1,1,5,6,7,2,1,7,6,4,4,4,5,1,7
boxfish,男,5,6,6,2,7,7,3,2,1,2,6,2,2,1,3,6,2,2,2,3,1,4
boxfish,男,6,6,5,5,6,6,5,4,5,5,5,6,4,4,5,5,4,6,4,6,5,5
boxfish,男,7,4,5,4,6,6,4,2,1,1,1,6,1,5,6,6,4,3,5,4,3,5
boxfish,男,8,1,6,5,4,4,3,3,3,3,3,6,6,5,5,6,4,3,3,3,4,6
boxfish,男,9,5,4,4,5,5,3,2,3,3,3,3,3,4,5,6,4,4,4,5,3,5
boxfish,男,10,5,7,5,6,6,2,5,5,6,6,3,6,6,6,4,5,6,5,6,6,5
boxfish,男,11,5,6,5,6,5,6,6,6,5,5,6,5,5,6,5,4,6,6,5,5,6
boxfish,男,12,1,3,3,5,7,2,1,1,1,1,4,2,7,4,6,1,4,2,5,1,6
boxfish,男,13,1,2,2,6,7,1,1,1,1,1,7,6,6,5,6,1,1,6,6,1,4
boxfish,男,14,5,7,5,7,7,4,2,3,3,3,3,2,6,6,6,6,3,3,7,2,6
boxfish,男,15,2,4,1,5,6,2,1,2,2,1,4,2,6,2,6,1,2,3,1,1,5
boxfish,男,16,4,5,2,6,6,2,2,2,4,4,5,2,5,5,5,4,4,4,4,4,6
boxfish,男,17,2,3,5,7,6,5,4,2,2,1,5,2,6,6,6,3,4,3,7,3,4
boxfish,男,18,7,7,4,7,7,5,5,2,5,4,2,2,6,7,7,2,2,5,6,2,1
boxfish,男,19,2,2,2,6,7,2,1,1,1,1,3,1,7,7,7,1,7,4,6,2,4
boxfish,男,20,4,4,5,6,7,3,1,2,2,1,4,1,5,7,7,1,3,6,7,1,7
boxfish,男,21,7,7,4,7,6,1,1,1,7,7,4,1,6,7,6,1,1,7,6,1,4
boxfish,男,22,1,6,1,7,7,4,4,3,3,7,7,1,5,5,7,4,1,7,7,7,6
boxfish,男,23,3,4,1,7,5,1,3,2,2,2,4,3,4,6,4,2,2,4,5,1,2
boxfish,男,24,5,6,5,7,6,2,2,5,3,3,4,4,4,7,7,6,4,4,7,4,4
boxfish,男,25,5,6,2,7,7,2,1,2,2,2,5,2,5,6,6,2,2,7,3,1,5
boxfish,男,26,3,4,3,6,6,3,3,2,3,3,5,3,6,6,6,3,3,3,4,3,4
boxfish,男,27,5,6,2,7,7,2,1,1,2,1,2,1,5,7,7,3,1,2,6,1,7
boxfish,男,28,4,4,3,5,6,4,4,4,3,3,5,5,6,6,6,3,5,6,5,3,5
boxfish,男,29,6,6,5,7,7,2,2,2,2,2,1,1,7,7,1,1,2,4,7,2,3
boxfish,男,30,5,5,5,6,4,3,4,4,4,4,6,4,4,5,5,4,3,4,4,3,2
boxfish,男,31,1,6,1,7,7,1,1,1,1,1,6,1,6,7,7,1,1,4,4,1,5
boxfish,男,32,5,4,3,6,6,3,3,3,3,3,6,3,5,5,5,3,2,4,5,3,6
boxfish,男,33,6,6,5,6,6,2,1,1,1,1,6,2,6,7,7,2,2,4,6,2,2
boxfish,男,34,5,5,2,6,6,2,1,1,1,1,5,2,6,5,5,2,1,1,1,1,2
boxfish,男,35,5,7,6,6,5,6,5,6,6,7,6,7,7,6,7,7,7,7,7,6,6
boxfish,男,36,1,1,2,2,4,4,4,1,4,3,2,2,2,2,3,2,3,3,3,4,3
boxfish,女,37,2,2,4,4,5,2,2,2,2,2,4,4,4,6,5,4,4,4,3,2,6
boxfish,女,38,6,5,2,7,7,1,2,1,2,2,2,1,4,7,7,1,4,4,5,1,7
boxfish,女,39,5,6,1,7,7,1,4,4,4,3,6,4,6,6,7,4,2,4,6,4,6
boxfish,女,40,6,6,2,7,7,2,2,2,2,4,2,2,1,6,4,4,4,6,4,1,4
boxfish,女,41,5,6,1,7,7,1,1,1,1,1,2,1,5,7,6,1,1,6,5,1,7
boxfish,女,42,6,5,5,6,6,3,3,2,5,5,3,2,2,6,6,3,5,5,7,2,5
boxfish,女,43,5,5,5,7,7,3,1,1,2,2,4,1,3,6,7,4,3,6,5,1,6
boxfish,女,44,7,6,6,7,7,3,1,1,1,2,2,1,5,7,7,3,5,5,7,3,7
boxfish,女,45,7,7,2,7,4,1,1,1,1,7,4,2,1,6,5,4,2,7,6,1,7
boxfish,女,46,7,3,3,7,6,1,1,1,3,5,2,2,1,7,6,4,1,5,6,1,6
boxfish,女,47,6,6,2,7,6,2,5,2,2,4,2,5,5,7,6,1,3,5,6,1,7
boxfish,女,48,1,1,1,5,5,1,1,1,1,1,7,4,1,7,7,1,1,3,4,1,7
boxfish,女,49,1,6,4,7,7,2,1,1,2,2,2,1,4,5,6,4,4,4,6,1,7
boxfish,女,50,2,4,2,7,7,6,6,2,3,1,5,4,7,7,6,2,5,6,4,2,5
boxfish,女,51,7,5,4,7,6,4,3,2,4,3,6,2,6,7,7,3,2,2,6,4,7
boxfish,女,52,2,6,3,7,7,4,3,2,2,2,4,3,3,7,7,2,4,3,2,2,5
boxfish,女,53,2,5,2,6,7,2,3,1,1,2,2,2,6,6,6,3,4,4,6,4,6
boxfish,女,54,7,7,4,7,6,2,2,2,2,1,2,1,5,7,7,1,1,4,6,1,6
boxfish,女,55,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,5,4,5,5,5
boxfish,女,56,6,7,2,6,6,1,1,1,1,4,1,1,3,6,7,1,1,5,7,1,3
boxfish,女,57,4,5,5,5,6,4,2,1,2,2,5,2,1,7,6,1,1,6,6,1,7
boxfish,女,58,5,5,4,6,6,4,3,2,4,3,4,2,6,6,6,3,3,6,6,3,5
boxfish,女,59,1,3,4,7,7,5,6,1,1,1,5,5,7,7,5,1,4,2,3,5,7
boxfish,女,60,5,6,4,7,7,4,2,2,3,5,3,4,4,6,7,4,4,4,6,1,4
boxfish,女,61,6,5,2,7,7,5,4,2,1,3,5,5,6,7,7,4,4,4,6,3,6
boxfish,女,62,7,7,7,7,7,1,1,1,1,1,1,1,7,7,7,1,1,7,7,1,7
boxfish,女,63,6,7,5,7,7,4,3,2,4,4,3,4,4,7,7,4,4,4,7,4,7
boxfish,女,64,2,6,4,7,7,3,3,3,4,4,3,3,5,4,6,4,4,4,3,4,6
boxfish,女,65,2,4,2,6,4,2,2,2,2,2,2,2,5,5,6,4,4,4,5,3,4
boxfish,女,66,3,3,3,6,6,4,4,4,2,2,5,4,4,5,6,3,4,4,5,3,5
boxfish,女,67,6,6,6,6,6,4,5,5,4,5,4,6,2,5,6,4,6,6,5,3,6
boxfish,女,68,2,5,4,6,6,2,1,1,1,1,4,1,4,5,5,4,4,4,3,4,5
boxfish,女,69,1,2,5,6,6,2,2,2,2,2,5,5,5,6,6,2,1,2,4,4,3
boxfish,女,70,6,4,3,7,7,5,2,1,3,5,3,3,6,2,5,3,5,6,7,3,4
boxfish,女,71,6,5,2,7,2,1,1,1,2,5,6,2,5,6,6,4,2,2,5,1,6
boxfish,女,72,2,5,1,5,6,5,4,4,1,1,3,4,4,6,6,4,4,4,5,4,6
boxfish,女,73,6,6,6,7,5,2,2,2,3,3,4,2,5,6,6,1,3,3,6,3,5
boxfish,女,74,4,6,4,6,7,4,2,3,1,4,2,1,3,3,3,2,2,5,4,1,4
boxfish,女,75,1,7,6,7,7,1,4,1,1,1,1,1,6,4,6,1,4,4,6,1,6
boxfish,女,76,1,1,1,7,7,1,1,1,1,1,7,1,1,7,7,1,1,1,1,1,1
boxfish,女,77,7,7,5,7,7,2,1,1,2,5,5,2,3,3,5,4,4,4,6,4,4
boxfish,女,78,7,7,4,7,4,3,3,1,1,4,6,1,5,6,6,1,4,4,4,1,4
boxfish,女,79,6,5,2,7,7,1,2,3,2,2,6,4,5,7,6,1,3,3,5,4,3
boxfish,女,80,1,3,4,7,7,7,4,2,1,1,4,5,7,7,7,2,5,2,2,7,5
boxfish,女,81,1,6,1,6,6,4,4,1,1,1,3,4,4,6,6,1,4,4,1,1,4
boxfish,女,82,1,1,1,3,4,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1
boxfish,女,83,3,6,1,7,5,2,1,1,1,1,6,2,7,7,7,1,3,2,1,2,7
boxfish,女,84,1,4,1,7,6,1,1,1,1,1,7,1,5,6,5,1,1,5,5,1,5
boxfish,女,85,1,5,3,6,6,2,1,3,2,6,6,2,7,7,7,1,1,1,1,1,7
boxfish,女,86,4,6,5,6,6,5,4,3,4,3,4,4,6,5,6,4,4,5,5,4,6
boxfish,女,87,1,4,2,7,6,2,2,2,2,3,2,2,2,5,5,2,2,5,5,2,5
boxfish,女,88,2,5,4,6,6,4,4,2,2,2,5,3,5,6,6,2,3,3,4,3,5
boxfish,女,89,6,6,3,6,6,3,2,4,3,3,5,5,5,6,6,3,4,3,5,3,5
boxfish,女,90,6,7,3,7,7,2,4,2,3,3,6,4,6,6,4,2,2,4,4,2,6
boxfish,女,91,5,5,3,7,7,2,1,2,1,1,3,3,6,6,7,1,2,2,4,1,5
boxfish,女,92,7,7,1,7,7,1,1,2,1,1,1,1,7,7,1,1,2,7,6,1,6
boxfish,女,93,3,6,5,7,7,3,3,1,3,2,3,1,7,7,7,1,4,4,6,1,7
boxfish,女,94,4,6,4,5,5,3,3,2,1,1,6,2,5,6,5,3,3,3,2,2,5
boxfish,女,95,7,6,1,7,7,2,3,3,1,2,5,3,6,6,6,3,2,4,3,1,5
boxfish,女,96,5,7,3,7,7,2,3,1,2,5,4,2,6,7,7,4,4,4,6,3,6
boxfish,女,97,4,5,4,6,6,4,4,4,4,3,4,4,5,6,6,4,4,4,4,4,5
boxfish,女,98,4,5,4,6,7,4,4,4,4,3,5,4,5,7,7,4,5,4,6,4,5
boxfish,女,99,1,2,1,5,5,1,1,1,1,1,1,1,2,4,3,1,1,2,2,1,1
boxfish,女,100,3,1,5,7,7,1,1,2,1,3,4,1,3,7,7,4,3,2,2,1,7
boxfish,女,101,6,5,4,6,7,6,4,2,2,2,2,2,5,6,6,2,4,5,5,1,6
boxfish,女,102,3,5,6,6,7,3,4,3,3,2,5,3,6,4,5,3,4,3,3,3,5
boxfish,女,103,3,5,2,6,7,1,2,1,1,2,7,4,5,5,5,2,1,1,1,1,5
boxfish,女,104,3,6,3,7,7,3,3,2,2,2,2,2,5,6,7,2,3,3,5,2,5
boxfish,女,105,2,3,2,5,6,2,2,1,1,1,5,1,5,6,6,1,2,1,5,2,5
boxfish,女,106,2,5,6,7,7,4,4,4,4,4,4,4,6,7,7,2,2,2,5,1,5
boxfish,女,107,6,6,5,7,7,7,7,4,4,5,3,4,6,4,7,3,5,4,4,3,4
shark,男,1,7,6,7,3,2,7,7,4,7,1,2,1,7,7,6,2,5,6,5,4,7
shark,男,2,2,5,7,1,1,7,7,2,4,2,1,1,7,7,2,1,2,1,1,7,6
shark,男,3,2,6,7,1,1,7,7,7,6,3,2,2,7,2,2,3,7,7,3,7,6
shark,男,4,1,6,7,6,5,7,7,7,5,1,4,7,7,7,4,1,7,7,7,7,7
shark,男,5,1,2,7,2,4,7,7,2,5,2,1,6,7,7,7,3,7,5,4,7,6
shark,男,6,1,4,5,6,4,6,6,2,2,2,6,6,6,6,5,4,4,4,4,5,4
shark,男,7,5,5,7,4,4,7,7,2,3,2,5,7,7,5,4,2,3,6,4,7,3
shark,男,8,2,4,7,4,7,6,7,1,6,2,2,5,7,7,7,1,4,1,5,6,5
shark,男,9,2,3,7,4,3,6,5,2,4,2,3,5,7,5,4,2,5,4,4,6,6
shark,男,10,2,4,6,3,5,5,7,7,5,1,5,6,7,5,4,3,5,4,6,7,4
shark,男,11,6,6,6,6,6,5,6,6,5,6,6,6,5,6,6,6,5,6,5,5,5
shark,男,12,4,1,7,2,2,7,7,3,4,1,1,6,7,7,1,1,7,2,4,6,5
shark,男,13,1,2,5,2,1,6,7,1,2,1,7,7,7,7,1,1,3,2,1,6,5
shark,男,14,2,3,7,3,4,7,7,5,7,2,5,5,7,7,3,3,4,2,5,7,7
shark,男,15,2,6,6,3,6,5,6,2,2,2,1,2,6,6,2,1,5,2,4,7,2
shark,男,16,2,4,7,4,5,7,7,4,4,2,4,4,7,7,4,4,6,4,4,7,6
shark,男,17,4,5,6,6,3,6,7,5,4,4,3,5,7,4,4,4,5,4,2,6,4
shark,男,18,3,6,7,1,1,7,7,1,1,1,1,1,7,7,1,1,5,1,1,7,4
shark,男,19,1,1,7,7,7,7,7,1,6,1,5,6,7,7,2,1,5,4,6,7,7
shark,男,20,1,6,7,4,4,7,7,1,7,1,7,7,7,7,4,1,6,1,4,7,7
shark,男,21,2,6,7,6,7,6,7,1,2,2,5,1,7,5,5,1,5,4,4,7,6
shark,男,22,1,7,7,2,2,7,6,7,6,6,1,1,7,7,1,3,3,6,5,2,5
shark,男,23,2,2,5,3,7,6,7,1,3,1,4,4,7,7,2,2,5,4,4,7,4
shark,男,24,2,6,7,5,5,7,7,1,4,1,5,4,6,6,4,2,5,2,4,7,4
shark,男,25,2,2,7,2,2,7,7,3,2,2,5,5,7,7,2,1,3,2,2,7,3
shark,男,26,3,4,6,4,5,6,6,3,4,3,3,3,5,5,4,3,4,3,5,5,5
shark,男,27,4,5,7,3,1,7,7,2,4,2,7,5,7,7,3,1,7,1,7,7,4
shark,男,28,3,3,6,4,3,6,7,5,4,3,5,6,7,7,4,3,5,4,4,7,4
shark,男,29,6,4,7,1,7,7,7,7,1,1,1,1,7,6,4,3,6,2,6,7,7
shark,男,30,5,4,5,4,5,5,5,3,3,1,4,4,6,5,3,1,4,2,2,6,4
shark,男,31,1,1,7,1,1,7,7,1,1,1,4,1,7,7,1,1,4,1,1,7,4
shark,男,32,4,5,6,5,5,6,7,5,4,4,3,5,6,5,5,4,5,3,4,6,5
shark,男,33,1,1,7,1,1,7,7,1,1,1,5,3,7,7,2,1,6,2,2,7,2
shark,男,34,5,4,6,2,3,7,7,4,2,1,6,4,7,7,4,1,6,3,1,7,6
shark,男,35,6,6,6,6,6,6,6,6,6,6,3,4,4,6,7,5,5,7,7,6,6
shark,男,36,2,5,5,3,3,5,6,5,4,3,5,4,4,4,5,4,4,2,2,6,6
shark,女,37,2,5,6,6,5,7,7,3,5,2,6,5,7,7,4,2,6,3,5,6,6
shark,女,38,4,5,7,1,1,6,7,1,4,1,1,4,7,7,4,1,7,4,1,7,4
shark,女,39,2,2,5,5,5,6,7,4,6,1,4,4,7,7,4,1,4,1,6,7,7
shark,女,40,6,3,7,4,1,7,7,2,5,1,1,5,7,6,4,4,4,4,4,7,4
shark,女,41,1,6,7,1,1,7,7,1,4,1,5,5,7,7,1,1,5,2,1,6,6
shark,女,42,2,5,6,3,6,6,6,2,2,2,2,3,1,6,3,3,3,3,3,6,5
shark,女,43,3,5,7,1,1,7,7,3,5,1,1,2,7,7,2,4,6,2,1,6,4
shark,女,44,5,5,7,3,3,7,7,5,6,2,1,1,7,7,4,1,7,1,2,7,5
shark,女,45,1,1,7,2,1,7,7,7,3,1,1,1,7,7,5,1,2,1,1,7,4
shark,女,46,5,5,7,3,1,7,7,2,6,1,1,6,7,7,1,4,5,3,2,7,4
shark,女,47,3,3,6,6,4,6,7,1,4,2,3,4,7,7,4,1,6,4,5,5,5
shark,女,48,1,1,7,1,1,7,7,2,1,1,5,7,7,7,5,1,7,1,5,7,5
shark,女,49,3,1,7,6,6,7,7,7,4,1,4,6,7,7,6,4,5,1,4,7,7
shark,女,50,2,6,5,4,6,7,7,3,3,3,6,7,7,5,4,2,6,4,5,7,5
shark,女,51,4,5,7,4,4,7,7,4,4,2,1,5,7,7,4,4,5,3,3,4,4
shark,女,52,3,3,6,3,3,7,7,6,3,2,3,4,7,6,4,4,5,1,2,6,6
shark,女,53,2,2,6,2,2,6,7,4,4,2,5,4,7,7,7,4,4,4,4,7,6
shark,女,54,4,3,7,3,7,7,7,1,2,2,2,7,7,7,6,1,7,1,1,7,7
shark,女,55,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
shark,女,56,5,5,6,2,1,6,7,6,6,1,1,3,6,6,2,1,2,1,1,5,1
shark,女,57,3,7,7,2,1,7,7,2,1,1,2,6,7,7,2,1,6,1,2,7,1
shark,女,58,2,4,6,2,3,6,7,3,4,2,5,4,7,7,4,2,6,4,3,6,5
